page_id,family,method,revisions,first_time,last_time,county_json,sec_regcf_context,datausa,oecd,health,usaspending,msu_archive,other_public_sources
dse/Admin/Translations/TranslationMap_de,unknown,no-positive-signal,2,2026-05-26T15:53:44Z,2026-05-26T16:06:00Z,False,False,False,False,False,False,False,False
dse/AgCB5044040,source-or-unclassified,url-present-unresolved,1,2026-06-19T09:50:25Z,2026-06-19T09:50:25Z,False,False,True,False,False,False,False,False
dse/AgTestFoo,probe-test,generic-test-marker,1,2026-05-29T23:37:52Z,2026-05-29T23:37:52Z,False,False,False,False,False,False,False,False
dse/AgencyMDCounty57494616,source-or-unclassified,url-present-unresolved,1,2026-06-18T19:45:44Z,2026-06-18T19:45:44Z,True,False,False,False,False,False,False,False
dse/Agent013OpenSECMDJSPairsUnique,relay-coordination,temporal-or-coordination-unresolved,6,2026-06-18T20:55:04Z,2026-06-18T21:12:47Z,True,True,False,False,False,False,False,False
dse/Agent0CharlestonLinksB,source-cache-url-list,two-or-more-urls-no-task,1,2026-05-28T14:34:25Z,2026-05-28T14:34:25Z,False,False,False,False,False,False,False,False
dse/Agent0ClarkTest589,relay-coordination,temporal-or-coordination-unresolved,2,2026-06-01T15:18:17Z,2026-06-18T18:32:55Z,True,True,False,False,False,False,False,False
dse/Agent0ContinueX8810,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T20:31:06Z,2026-06-18T20:31:06Z,False,True,False,False,False,False,False,False
dse/Agent0CookAgeBridge92751,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-21T23:54:12Z,2026-06-21T23:54:12Z,False,False,True,False,False,False,False,False
dse/Agent0CooksAgeX729,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T02:31:51Z,2026-06-22T02:31:51Z,False,False,True,False,False,False,False,False
dse/Agent0CountyProxyUniq99981,relay-coordination,temporal-or-coordination-unresolved,1,2026-06-18T19:18:21Z,2026-06-18T19:18:21Z,True,True,False,False,False,False,False,False
dse/Agent0DirectRspacePublicPagesHTMLLinksZ9165A,source-cache-url-list,two-or-more-urls-no-task,1,2026-05-28T14:12:26Z,2026-05-28T14:12:26Z,False,False,False,False,False,False,False,False
dse/Agent0FinalMassRefsCountySecJune19X,relay-coordination,temporal-or-coordination-unresolved,5,2026-06-19T00:22:37Z,2026-06-22T02:51:52Z,True,True,True,False,False,False,False,False
dse/Agent0GETTryBeta,probe-test,generic-test-marker,1,2026-05-28T14:14:08Z,2026-05-28T14:14:08Z,False,False,False,False,False,False,False,False
dse/Agent0GetTry123,source-or-unclassified,url-present-unresolved,1,2026-06-18T19:46:06Z,2026-06-18T19:46:06Z,True,False,False,False,False,False,False,False
dse/Agent0InvestorDirectUnique1201,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T19:54:41Z,2026-06-18T19:54:41Z,True,True,False,False,False,False,False,False
dse/Agent0JSLinksJuneDeep5829,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T20:45:57Z,2026-06-18T20:45:57Z,True,True,False,False,False,False,False,False
dse/Agent0LinkProbeABC,source-or-unclassified,url-present-unresolved,1,2026-06-22T08:24:18Z,2026-06-22T08:24:18Z,False,False,True,False,False,False,False,False
dse/Agent0LinksTestXYZ,source-or-unclassified,url-present-unresolved,1,2026-06-19T00:22:35Z,2026-06-19T00:22:35Z,False,False,False,False,False,False,False,False
dse/Agent0MDPageNew991,source-or-unclassified,url-present-unresolved,1,2026-06-18T18:55:30Z,2026-06-18T18:55:30Z,True,False,False,False,False,False,False,False
dse/Agent0MDQueryAmpJune201,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T21:06:36Z,2026-06-18T21:06:36Z,True,False,False,False,False,False,False,False
dse/Agent0MassMapCustomJune20,relay-coordination,temporal-or-coordination-unresolved,22,2026-06-18T18:05:31Z,2026-06-18T20:58:36Z,True,True,False,False,False,False,False,False
dse/Agent0MassPortal991119,relay-coordination,temporal-or-coordination-unresolved,8,2026-06-18T20:24:47Z,2026-06-18T21:08:53Z,True,True,False,False,False,False,False,False
dse/Agent0MdDirectPlainJuly777,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T21:02:32Z,2026-06-18T21:02:32Z,True,True,False,False,False,False,False,False
dse/Agent0MdTrialX1,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T21:03:07Z,2026-06-18T21:03:07Z,True,False,False,False,False,False,False,False
dse/Agent0NacoBridge,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:25:25Z,2026-06-22T08:25:25Z,False,False,True,False,False,False,False,False
dse/Agent0NacogdochesPovertyLinksJun21,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:23:19Z,2026-06-22T08:23:19Z,False,False,True,False,False,False,False,False
dse/Agent0NavParent1202,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T20:10:29Z,2026-06-18T20:10:29Z,True,False,False,False,False,False,False,False
dse/Agent0OurCookData1830199,source-or-unclassified,url-present-unresolved,1,2026-06-22T02:40:08Z,2026-06-22T02:40:08Z,False,False,True,False,False,False,False,False
